iAH991	iJO1366
3HAD121	3HAD121
PNTK	PNTK
ACHBS	ACHBS
A5PISO	A5PISO
ARGSL	ARGSL
CTPS2	CTPS2
PTAr	PTAr
OBTFL	OBTFL
PGPP181	PGPP181pp
TALA	TALA
THRAr	THRAi
UAMAS	UAMAS
NTPP8	NTPP8
HXPRT	HXPRT
HSST	HSST
GLCP	GLCP
CS	CS
PUNP4	PUNP4
PUNP5	PUNP5
PUNP6	PUNP6
PUNP7	PUNP7
PUNP1	PUNP1
PUNP2	PUNP2
PUNP3	PUNP3
TMPKr	TMPK
UACMAMO	UACMAMO
PMPK	PMPK
ASPO5	ASPO5
ASPO6	ASPO6
MANAO	MANAO
METOX1s	METOX1s
OHPHM	OHPHM
DURIK1	DURIK1
ACKr	ACKr
RMPA	RMPA
DHORTS	DHORTS
PYDAMK	PYDAMK
G1PTT	G1PTT
SUCDi	SUCDi
IPPMIb	IPPMIb
IPPS	IPPS
PSD180	PSD180
3OAS80	3OAS80
TPI	TPI
12PPDRt	12PPDRtpp
DADK	DADK
GUI2	GUI2
GUI1	GUI1
BPNT	BPNT
MMCD	MMCD
EAR100x	EAR100x
NTPTP1	NTPTP2
CBLAT	CBLAT
NTPP11	NTPP11
NTPP10	NTPP10
AGPAT140	AGPAT140
GLNS	GLNS
AICART	AICART
EAR161x	EAR161x
NNDPR	NNDPR
DASYN180	DASYN180
DASYN181	DASYN181
RPE	RPE
THIORDXi	THIORDXi
RBFK	RBFK
PRFGS	PRFGS
DASYN160	DASYN160
3HAD140	3HAD140
TKT2	TKT2
NADS1	NADS1
TKT1	TKT1
LGTHL	LGTHL
PRAI	PRAIi
AHCYSNS_r	AHCYSNS
GMAND	GMAND
KDOCT2	KDOCT2
PROD2	PROD2
GLUR	GLUR
MCOATA	MCOATA
PDX5POi	PDX5POi
AGMHE	AGMHE
PGMT	PGMT
RBP4E	RBP4E
3OAR180	3OAR180
GLU5K	GLU5K
SHKK	SHKK
G6PDA	G6PDA
MDH	MDH
3OAS160	3OAS160
3OAS161	3OAS161
3HAD80	3HAD80
PROGLYt	PROGLYtex
NADH5	NADH5
PAPPT3	PAPPT3
CHORS	CHORS
HCO3E	HCO3E
MOAT_BT	MOAT2
AGPAT180	AGPAT180
AGPAT181	AGPAT181
ACS	ACS
ALAR	ALAR
DCYTD	DCYTD
GLUDC	GLUDC
DMATT	DMATT
T2DECAI	T2DECAI
MI1PP	MI1PP
